id_camion,orden_parada,nodo_ine,paquetes,km_tramo,tiempo_tramo_min,tiempo_acumulado_min,Id_Transportista,Centro_Origen
366,4,Regreso_Amazon_SVQ1,0,167.88,120.11,477.09869819401337,366,Amazon_SVQ1
367,1,Inicio_Amazon_SVQ1,0,0.0,40.0,40.0,367,Amazon_SVQ1
367,2,1100802,8,170.46,115.2,179.2,367,Amazon_SVQ1
367,3,1103304,49,3.1150416244812096,3.7380499493774515,329.93804994937744,367,Amazon_SVQ1
367,4,1103302,8,3.0274848617876406,3.632981834145169,357.5710317835226,367,Amazon_SVQ1
367,5,Regreso_Amazon_SVQ1,0,177.7,120.01,477.5810317835226,367,Amazon_SVQ1
368,1,Inicio_Amazon_SVQ1,0,0.0,40.0,40.0,368,Amazon_SVQ1
368,2,1100803,9,167.88,120.11,187.11,368,Amazon_SVQ1
368,3,1103302,54,7.019810811581318,8.423772973897583,357.5337729738976,368,Amazon_SVQ1
368,4,Regreso_Amazon_SVQ1,0,177.7,120.01,477.5437729738976,368,Amazon_SVQ1
369,1,Inicio_Amazon_SVQ1,0,0.0,40.0,40.0,369,Amazon_SVQ1
369,2,1190101,47,129.35,101.29,282.29,369,Amazon_SVQ1
369,3,1102301,3,16.67214299715362,20.006571596584347,311.2965715965844,369,Amazon_SVQ1
369,4,1102303,6,0.3003628655834057,0.3604354387000868,329.6570070352845,369,Amazon_SVQ1
369,5,1102302,7,0.27299557657693596,0.32759469189232315,350.9846017271768,369,Amazon_SVQ1
369,6,1102304,7,0.5452676287092151,0.6543211544510581,372.6389228816279,369,Amazon_SVQ1
369,7,1102305,10,0.639129534199222,0.7669554410390664,403.4058783226669,369,Amazon_SVQ1
369,8,Regreso_Amazon_SVQ1,0,107.64,74.45,477.8558783226669,369,Amazon_SVQ1
370,1,Inicio_Amazon_SVQ1,0,0.0,40.0,40.0,370,Amazon_SVQ1
370,2,1100901,7,100.87,101.9,162.9,370,Amazon_SVQ1
370,3,1103801,72,3.647591226652097,4.377109471982516,383.2771094719825,370,Amazon_SVQ1
