lat,lon,nombre
36.6246748,-4.5162946,999
36.7394971,-4.3970393,981
36.7575333,-4.4243647,983
36.9651928,-4.443559,114
37.4564073,-4.5675492,49
37.4359523,-4.5466819,51
38.0080718,-4.3835357,359
36.7079665,-6.0736009,79
36.5327088,-6.202811,105BA
36.6192434,-6.0679033,4
36.5574766,-4.6187896,nodo_259173173
36.4665502,-6.1680242,nodo_259185612
36.4681179,-6.1768358,13
36.4018305,-6.1264484,10
36.5627485,-6.1872351,655
36.6104969,-6.1867766,nodo_260565973
36.6118986,-6.1998979,nodo_260566068
36.6150985,-6.1877643,649
38.4760737,-6.3601002,675
37.5355633,-6.0952076,795
37.2759407,-6.9237474,84B
37.3157187,-6.8662683,77
37.3088464,-6.8912879,80
37.307075,-6.8945721,80
37.2455589,-7.0183149,7
37.2251671,-7.0259687,nodo_270312328
37.2292486,-7.0210139,9
37.2489524,-7.0182896,7
37.2696911,-6.9897154,3
36.4999169,-5.004471,172
36.5186869,-4.8928704,1044
36.5236525,-4.9427066,nodo_280771809
36.3735777,-5.2670571,142
36.4330229,-5.1638487,1070A
36.5475929,-4.6314346,nodo_292534910
36.5132897,-4.9306021,1047B
36.6107124,-4.5314481,nodo_292814609
36.6342733,-4.510891,998
36.6769476,-4.4748836,nodo_294036649
37.2608641,-7.2999411,122
37.25979,-7.3094311,122
36.7241786,-4.2925131,973
36.7241748,-4.2726412,970
36.7211741,-4.2352468,967
36.7525369,-4.4305963,983
36.7448518,-4.4425215,12
36.6500269,-4.4813752,1
36.6485151,-4.4881988,0
36.6497761,-4.4881045,0
36.5196227,-4.8745204,A-7 Fuengirola Malaga
36.5272735,-4.6291252,1017B
36.7350531,-4.3772436,979
36.3822035,-5.2621672,142
36.5490324,-4.6298323,1014
37.4135202,-6.0081488,nodo_306104985
36.4287851,-5.1731761,nodo_307988098
36.5874401,-4.5913955,1008
36.4519066,-6.1520104,2
36.4556736,-6.1555957,2
36.4461478,-6.1471179,3
36.4456248,-6.1461745,3
36.4193525,-6.1172261,7
36.4177082,-6.1178552,7
36.3964784,-6.1239998,10
36.4667454,-6.1647645,1
36.5388305,-6.1928053,104AB
36.534275,-6.2010389,105B
36.7336109,-6.0893376,631
36.713582,-6.0714401,78
36.6582985,-6.0850633,84
36.6505466,-6.0856406,85
36.6971188,-6.0766585,80
36.701786,-6.0758334,nodo_309820331
36.7112746,-6.0726601,nodo_309820433
36.7847809,-6.0438638,nodo_309822232
36.6410978,-6.1849504,646B
36.6546985,-6.1706029,644
36.6582974,-6.1672153,644
36.6645554,-6.1581759,641
36.6735546,-6.1522307,640
36.6786947,-6.1502541,nodo_309836383
36.6387351,-6.1862816,nodo_309846977
36.6370657,-6.1874869,646
37.8095564,-4.8026972,nodo_309864672
37.7821875,-4.8173785,414
37.7952757,-4.8120681,nodo_309865933
37.7560666,-4.8306449,418
37.4801835,-5.5739718,500
37.3603119,-5.9576123,0A
36.5200371,-4.8842141,1043
36.7529595,-4.4153491,982
36.518612,-4.8370187,nodo_319722538
36.5109183,-4.9478098,176
36.743742,-4.1828194,960
36.7475199,-4.1719261,960
36.7249868,-4.2521612,968
36.7323834,-4.37504,979
36.7416446,-4.4027839,981B
36.724177,-4.278418,970
36.7243524,-4.2577397,968
37.1993289,-7.497488,17
37.2385737,-7.3983824,131
36.4620337,-5.0439053,nodo_320622924
36.4685583,-5.0164664,nodo_320936240
36.4637717,-5.0369512,nodo_321353561
37.2718413,-6.9177576,11A
37.2774382,-6.9217027,10B
37.2797199,-6.9240574,10A
37.2775029,-6.9221922,84B
37.2774963,-6.9212027,84A
36.7136513,-4.4989711,65
36.7192201,-4.6893291,48
37.2833107,-6.9315399,8
37.2817372,-6.926986,9
37.2751414,-6.9198681,10A
37.2776998,-6.9217191,10B
37.2795725,-6.9188462,84A
37.1387588,-4.725542,132
37.0427882,-4.5064292,102
37.2823866,-6.9289426,9
36.726228,-6.0966004,632
36.9767136,-5.9537072,45
36.9972812,-5.9412177,nodo_325136207
36.7137129,-4.3314842,nodo_325937328
37.997944,-4.7964923,254
38.0545172,-4.8121742,nodo_327208596
36.5584751,-6.2025726,nodo_327549663
38.2680286,-6.2981512,700
37.3245691,-6.5415242,3
37.2631917,-6.531473,11
37.3511355,-6.5588022,0
37.570594,-6.1052016,790
37.7118546,-6.1702151,771
37.9027319,-6.2135492,747
38.0805869,-6.2592676,722
38.1302575,-6.2733249,715
38.4146664,-6.3434333,682
36.433485,-5.1249689,1067
37.8192412,-4.7972284,409A
36.4337692,-5.1765009,153
36.2821902,-5.3130505,1094
36.6565754,-4.4860207,1
36.6588435,-4.4856701,1
36.5655746,-4.6333284,213
36.5067048,-4.7232507,200
