Nombre,Latitud,Longitud,Municipio,Tipo,Area_Ha,Descripcion,pendiente_pct,enp_dist_m,agua_dist_m,usos_dist_m,dist_autopista_km,autopista_cercana,cobertura_pct,poblacion_30km,dist_competencia_km,estacion_cercana,subst_dist_m,subst_encontrada,desv_centroide_km,concentracion_30km_pct,dist_nucleo_km,nucleo_cercano,motivos_rechazo,aprobado,eliminado_dedup
Polígono Industrial Torrealcázar,37.309109,-6.240701,Sevilla,industrial,20.44,OSM: industrial | 20.4 ha | Sevilla,2.33,551,,226,6.37,23,49.4,1195006,23.49,Amazon DSP Sevilla,6182,True,11.99,59.2,24.48,Sevilla,,True,False
Centro de Comunicaciones por Satélite de Carmona,37.537717,-5.482802,Sevilla,industrial,20.34,OSM: industrial | 20.3 ha | Sevilla,7.0,,242,,4.84,491,44.5,173673,43.66,SEUR Hub Sevilla,,False,35.44,7.9,47.01,Dos Hermanas,F1(pendiente=7.0%),False,False
Polígono Industrial Aeropuerto,37.393932,-5.94082,Sevilla,industrial,20.19,OSM: industrial | 20.2 ha | Sevilla,1.67,,,358,0.4,nodo_206120407,44.9,1545717,2.83,SEUR Hub Sevilla,872,True,4.53,82.6,3.57,Dos Hermanas,,True,True
Polígono Industrial Labacante,37.37155,-6.247027,Sevilla,industrial,20.18,OSM: industrial | 20.2 ha | Sevilla,1.67,1027,,,2.12,23,47.7,1314833,23.72,Amazon DSP Sevilla,516,True,13.16,67.4,23.46,Sevilla,,True,True
Polígono Industrial El Cañuelo,37.581499,-4.851348,Córdoba,industrial,20.09,OSM: industrial | 20.1 ha | Córdoba,8.67,,100,,10.47,nodo_2255862954,18.7,193607,26.9,Correos Express Hub Córdoba,4702,True,10.51,20.9,34.69,Córdoba,F1(pendiente=8.7%) | F3(Agua a 100 m (mín 140 m)),False,False
Ence Biomasa 40,37.30599,-6.865216,Huelva,industrial,19.94,OSM: industrial | 19.9 ha | Huelva,2.33,,174,,1.09,77,12.9,336661,78.42,Amazon DSP Sevilla,106,True,5.47,58.8,9.23,Huelva,,True,True
Parque Empresarial Parque Plata,37.419467,-6.032876,Sevilla,industrial,19.81,OSM: industrial | 19.8 ha | Sevilla,2.67,2190,,358,0.3,nodo_5534308047,44.5,1456778,9.03,Amazon DSP Sevilla,753,True,8.29,79.4,5.66,Sevilla,,True,True
Fábrica Santa Filomena,37.529443,-5.241581,Sevilla,industrial,19.44,OSM: industrial | 19.4 ha | Sevilla,1.0,,,180,0.59,468,26.9,144960,50.54,Correos Express Hub Córdoba,,False,5.15,10.7,56.96,Córdoba,F4(residential a 180 m (mín 200 m)) | F12(Córdoba 57.0 km>50.0 km),False,False
Parque Empresarial de Levante,36.492973,-6.264936,Cádiz,industrial,19.43,OSM: industrial | 19.4 ha | Cádiz,3.33,2284,,271,0.47,1,20.4,682134,13.62,Amazon El Puerto de Santa María (Cádiz),268,True,14.06,75.2,4.33,Cádiz,F1(pendiente=3.3%),False,False
Polígono Industrial Navaestrella,36.697233,-6.082935,Cádiz,industrial,19.42,OSM: industrial | 19.4 ha | Cádiz,1.67,1225,268,102,0.56,80,24.2,747935,15.61,Amazon El Puerto de Santa María (Cádiz),1222,True,4.41,67.4,5.11,Jerez de la Frontera,F4(residential a 102 m (mín 200 m)),False,False
Poligono_Industrial_042,36.718814,-6.097651,Cádiz,industrial,18.84,OSM: industrial | 18.8 ha | Cádiz,5.33,,,,0.83,632,26.7,705093,16.29,Amazon El Puerto de Santa María (Cádiz),1203,True,1.04,57.1,5.39,Jerez de la Frontera,F1(pendiente=5.3%),False,False
Fertiberia,37.221127,-6.945926,Huelva,industrial,18.79,OSM: industrial | 18.8 ha | Huelva,1.67,,239,,0.92,18,11.2,326270,86.65,Amazon DSP Sevilla,364,True,10.93,65.5,4.46,Huelva,,True,True
Poligono_Industrial_043,37.174278,-5.795295,Sevilla,industrial,18.74,OSM: industrial | 18.7 ha | Sevilla,2.33,,258,,4.44,nodo_1713120889,50.3,1091443,24.81,SEUR Hub Sevilla,1012,True,16.49,52.4,28.68,Dos Hermanas,,True,False
Polígono Industrial de Trocadero,36.525594,-6.210578,Cádiz,industrial,18.55,OSM: industrial | 18.6 ha | Cádiz,2.67,359,340,,1.05,105BA,20.6,691542,9.42,Amazon El Puerto de Santa María (Cádiz),1195,True,8.82,75.2,6.97,Cádiz,F2(ENP a 359 m (mín 500 m): Parque Natural de Bahía d),False,False
Poligono_Industrial_044,37.163174,-5.456758,Sevilla,industrial,18.52,OSM: industrial | 18.5 ha | Sevilla,2.67,,237,,10.83,nodo_250138512,44.8,150561,47.78,SEUR Hub Sevilla,3323,True,39.25,6.7,52.52,Dos Hermanas,F12(Dos Hermanas 52.5 km>50.0 km),False,False
Polígono Industrial La Atalaya,37.479821,-4.43976,Córdoba,industrial,18.47,OSM: industrial | 18.5 ha | Córdoba,13.33,786,501,0,3.21,47,16.1,203669,49.36,Correos Express Hub Córdoba,1184,True,34.15,24.8,54.36,Córdoba,F1(pendiente=13.3%) | F4(residential a 0 m (mín 200 m)) | F12(Córdoba 54.4 km>50.0 km),False,False
Explotación minera inactiva,36.959588,-5.333681,Cádiz,brownfield,18.46,OSM: brownfield | 18.5 ha | Cádiz,6.33,,,,29.87,63,13.8,113972,69.82,SEUR Hub Sevilla,,False,35.48,16.1,74.36,Dos Hermanas,F1(pendiente=6.3%) | F5(29.9 km>15.0 km) | F12(Dos Hermanas 74.4 km>50.0 km),False,False
Campus Palmas Altas,37.338917,-5.978106,Sevilla,industrial,18.43,OSM: industrial | 18.4 ha | Sevilla,1.67,,311,340,0.2,9,45.2,1527395,1.24,Amazon DSP Sevilla,159,True,1.29,81.3,5.26,Dos Hermanas,,True,True
Airbus Defence and Space - San Pablo Norte,37.424416,-5.883452,Sevilla,industrial,18.21,OSM: industrial | 18.2 ha | Sevilla,2.33,,,,1.2,530,44.6,1545095,7.32,SEUR Hub Sevilla,1744,True,8.67,83.2,9.53,Dos Hermanas,,True,True
Poligono_Comercial_004,37.376539,-6.833765,Huelva,comercial,18.16,OSM: comercial | 18.2 ha | Huelva,3.67,,,103,5.52,nodo_799716403,14.3,319849,75.51,Amazon DSP Sevilla,6511,True,7.98,50.3,16.62,Huelva,F1(pendiente=3.7%) | F4(residential a 103 m (mín 200 m)),False,False
Puerto Comercial,36.593236,-6.22428,Cádiz,industrial,18.16,OSM: industrial | 18.2 ha | Cádiz,1.0,566,97,167,2.57,nodo_960792737,20.9,755898,1.9,Amazon El Puerto de Santa María (Cádiz),116,True,6.49,79.2,9.34,Cádiz,F3(Agua a 97 m (mín 140 m)) | F4(residential a 167 m (mín 200 m)),False,False
Polígono Industrial Zahorí,36.350403,-5.819261,Cádiz,industrial,17.98,OSM: industrial | 18.0 ha | Cádiz,2.0,,,172,12.52,42,25.0,138599,46.01,Amazon El Puerto de Santa María (Cádiz),4016,True,17.57,11.6,46.35,Cádiz,F4(residential a 172 m (mín 200 m)),False,False
Polígono Industrial La Chaparrilla,37.381076,-5.905114,Sevilla,industrial,17.93,OSM: industrial | 17.9 ha | Sevilla,2.67,,107,371,1.46,5,44.9,1540882,2.52,SEUR Hub Sevilla,1532,True,5.18,82.4,6.64,Dos Hermanas,F3(Agua a 107 m (mín 140 m)),False,False
Polígono Industrial Ciudad Blanca,37.266214,-5.922769,Sevilla,industrial,17.92,OSM: industrial | 17.9 ha | Sevilla,3.0,,,0,1.59,558,45.5,1465889,10.6,Amazon DSP Sevilla,864,True,7.98,77.9,14.27,Dos Hermanas,F4(residential a 0 m (mín 200 m)),False,False
